,momentum_return
2009-03-31,0.0
2009-04-01,-0.002006932094960096
2009-04-02,-0.024495971332246617
2009-04-03,-0.0011136569249482276
2009-04-06,-0.0007644336368884245
2009-04-07,0.0016477931917775169
2009-04-08,0.005199904633171467
2009-04-09,0.008511043351868332
2009-04-10,0.004944893546397367
2009-04-13,-0.0007594058067677098
2009-04-14,0.0021193985276834635
2009-04-15,-0.0026518993635028017
2009-04-16,0.00030681321577464735
2009-04-17,-0.003085373343472415
2009-04-20,0.004230655648857203
2009-04-21,0.00944037849828807
2009-04-22,0.0026068912528037064
2009-04-23,0.00061681081310822
2009-04-24,-0.006302454762153328
2009-04-27,0.003079141294799076
2009-04-28,-0.0006806578201938064
2009-04-29,-0.0016203158020407559
2009-04-30,-0.0013940880262813008
2009-05-01,0.00473771743312705
2009-05-04,0.00189156215813405
2009-05-05,0.0050263919997070835
2009-05-06,0.003169187130061868
2009-05-07,0.013628956592531483
2009-05-08,-0.004666911692266336
2009-05-11,0.0008239141204470729
2009-05-12,-0.003307539995971675
2009-05-13,-0.008217898312181176
2009-05-14,0.009063337732953263
2009-05-15,-0.0027915913034631205
2009-05-18,0.0014521970875512981
2009-05-19,-0.001705097755637339
2009-05-20,0.004996585428722681
2009-05-21,-0.004848871847815269
2009-05-22,0.011388028490806647
2009-05-25,0.007023546255721891
2009-05-26,-0.003528414599205004
2009-05-27,-0.003452656775056644
2009-05-28,-0.006899344804917516
2009-05-29,-0.005410855145668455
2009-06-01,-0.008079775206219861
2009-06-02,0.0035265668422453426
2009-06-03,0.0010271408076738039
2009-06-04,0.0027758709083013475
2009-06-05,0.004887976981479934
2009-06-08,-0.004271396166814611
2009-06-09,0.0013587621063985249
2009-06-10,0.0001359573106145236
2009-06-11,-0.0006557363335237413
2009-06-12,-0.004888988863699291
2009-06-15,8.584346562637572e-05
2009-06-16,-0.004830642067077215
2009-06-17,-0.0018729912214043754
2009-06-18,0.009830461341655682
2009-06-19,0.016861485769488115
2009-06-22,-0.0049440487506108004
2009-06-23,-0.013448452806237804
2009-06-24,0.0028326368161332265
2009-06-25,-0.0034892384876656305
2009-06-26,-0.00538012979267693
2009-06-29,-0.01599028490061417
2009-06-30,-0.0011187159169018148
2009-07-01,0.0012675240036226626
2009-07-02,-0.00507948598408385
2009-07-03,0.0021005411940586086
2009-07-06,0.003972350540371241
2009-07-07,0.0002560599832062845
2009-07-08,-0.008754570645457291
2009-07-09,-0.011571588403409591
2009-07-10,0.009679829162551955
2009-07-13,-0.005045265967003974
2009-07-14,0.01175959964311973
2009-07-15,-0.003460429350862185
2009-07-16,-0.03239688216320945
2009-07-17,-0.027259778608131852
2009-07-20,0.0006689847487329936
2009-07-21,0.016210453169760917
2009-07-22,0.01165475548847132
2009-07-23,0.01099988432960173
2009-07-24,-0.01094002890117829
2009-07-27,-0.002184134086465006
2009-07-28,0.0006164602836024754
2009-07-29,0.005019238559380821
2009-07-30,0.005393739902061177
2009-07-31,-0.01807637854077194
2009-08-03,0.0018362893988358945
2009-08-04,0.0026863761870573703
2009-08-05,0.009044633945670476
2009-08-06,-0.007739746716309968
2009-08-07,0.0029449382740496547
2009-08-10,-0.0004246824942873181
2009-08-11,0.0028193454626443256
2009-08-12,0.00892871732772138
2009-08-13,-0.0042217761046983064
2009-08-14,0.013277928468556558
2009-08-17,0.026881030465912354
2009-08-18,0.007761796675302262
2009-08-19,-0.01686970791550987
2009-08-20,0.007989489235525964
2009-08-21,-0.007231408187677051
2009-08-24,0.011753778863955778
2009-08-25,-0.012653509776765846
2009-08-26,-0.016564305940091617
2009-08-27,-0.0020222932199152857
2009-08-28,0.04359289227244996
2009-08-31,-0.011314777999141693
2009-09-01,0.004560791078438068
2009-09-02,-0.0026030724590419604
2009-09-03,0.016109132008725054
2009-09-04,0.0005240251285626946
2009-09-07,0.010944750157908563
2009-09-08,-0.00407128441859986
2009-09-09,-0.006022799974496547
2009-09-10,0.0038941694017979966
2009-09-11,-0.0018792788352892565
2009-09-14,-0.0016687229065901678
2009-09-15,-0.011649500440450544
2009-09-16,0.002613000095278135
2009-09-17,0.006224874184881046
2009-09-18,-0.002150814740637547
2009-09-21,0.003767567215573849
2009-09-22,-0.0029739685577552947
2009-09-23,0.009918535201124613
2009-09-24,-0.002704414719909413
2009-09-25,-0.0021800068018714806
2009-09-28,-0.005872956625980672
2009-09-29,-0.011809421172551762
2009-09-30,0.0026312647541948094
2009-10-01,0.00489676688243917
2009-10-02,-0.008899555342152678
2009-10-05,0.0010930519402425217
2009-10-06,-0.004919630434145653
2009-10-07,0.016381880428251103
2009-10-08,-0.00854758612701438
2009-10-09,-0.002622438455799176
2009-10-12,0.005526380040406459
2009-10-13,0.0020832813397922375
2009-10-14,0.004242320560910562
2009-10-15,0.001070821407638751
2009-10-16,-0.011575589305131886
2009-10-19,-0.011496833137744432
2009-10-20,0.0018137329899451486
2009-10-21,-0.0032374324354009776
2009-10-22,-0.001057458079466707
2009-10-23,-0.006276126443312234
2009-10-26,-0.004445861316452446
2009-10-27,-0.007777234352208189
2009-10-28,-0.008223385686041125
2009-10-29,0.00025772857712278645
2009-10-30,0.0023930504221803183
2009-11-02,0.01896636405677642
2009-11-03,-0.00010418608628364807
2009-11-04,-0.006312622455626834
2009-11-05,0.006644899166500008
2009-11-06,-0.00393218268264634
2009-11-09,-0.004500105904760505
2009-11-10,0.003768101198637797
2009-11-11,-0.013214545789788505
2009-11-12,-0.002181006861602911
2009-11-13,0.0013356576552632634
2009-11-16,-0.00409144785596535
2009-11-17,0.0014566238147774933
2009-11-18,-0.005804516082792492
2009-11-19,0.007484075856090304
2009-11-20,0.006613962170518644
2009-11-23,-0.010043636879377997
2009-11-24,1.8322045497060605e-05
2009-11-25,0.008697825867477976
2009-11-26,0.005993217440939584
2009-11-27,0.002932335938071225
2009-11-30,0.004572076636503487
2009-12-01,-0.00047269746117606273
2009-12-02,-0.01749842057973383
2009-12-03,-0.01515859029799015
2009-12-04,-0.0185596068500062
2009-12-07,-0.0054399044361179705
2009-12-08,0.005734015713588085
2009-12-09,-0.0078103424281944205
2009-12-10,0.005573364898803043
2009-12-11,0.007321062613746867
2009-12-14,-0.008350740929794416
2009-12-15,0.001159915863523527
2009-12-16,-0.004758914592661846
2009-12-17,-0.01363236334476384
2009-12-18,0.012445891933557385
2009-12-21,-0.009515932577932214
2009-12-22,0.0018141289232008855
2009-12-23,-0.0011557481517962594
2009-12-24,-0.003923500189656623
2009-12-25,-0.004416671310057851
2009-12-28,0.005605045623323535
2009-12-29,-0.0045557106142927375
2009-12-30,-0.002328119195054056
2009-12-31,-0.0014701734421864125
2010-01-01,0.002160607608569156
2010-01-04,-0.00762489316047635
2010-01-05,-0.02218811556595674
2010-01-06,-0.015263345743766442
2010-01-07,-0.010087579495563895
2010-01-08,0.011822829467611484
2010-01-11,0.002738327439906339
2010-01-12,0.003101793143323625
2010-01-13,-0.008984410734497104
2010-01-14,0.002182678791063072
2010-01-15,0.004724603977026625
2010-01-18,-0.0057802520274727875
2010-01-19,0.004642608476140791
2010-01-20,0.008544724715830131
2010-01-21,0.00018323194140327983
2010-01-22,-0.005426709301058961
2010-01-25,0.006433609506431721
2010-01-26,-0.0063421566457268225
2010-01-27,0.017783730786664842
2010-01-28,0.012141908827169439
2010-01-29,0.000578747891949046
2010-02-01,-0.011983493194262595
2010-02-02,0.014288049919544063
2010-02-03,-0.004574823661861479
2010-02-04,-0.0006626360913731309
2010-02-05,0.0030887023339890574
2010-02-08,0.002820184984781618
2010-02-09,-0.0003586266911897
2010-02-10,0.00016027838219750436
2010-02-11,-0.006200483945922179
2010-02-12,-0.007273530627831284
2010-02-15,0.006170360534398891
2010-02-16,-0.0018885539073850309
2010-02-17,0.002312530762133729
2010-02-18,0.00923032677881841
2010-02-19,-0.005045487152269712
2010-02-22,-0.013867605247234184
2010-02-23,-0.005950117147708454
2010-02-24,-0.004551442308021373
2010-02-25,0.0054596818175270964
2010-02-26,-0.00011554474530555683
2010-03-01,0.010153538645922701
2010-03-02,0.006846562756641516
2010-03-03,-0.0056035466694092
2010-03-04,-0.014600032700901981
2010-03-05,-0.001701828075336294
2010-03-08,0.00849062927817065
2010-03-09,0.009670737264048192
2010-03-10,-0.0007988880209675025
2010-03-11,1.613289840486274e-05
2010-03-12,-0.0040078166234635
2010-03-15,0.010805841924035673
2010-03-16,-0.004801816479402518
2010-03-17,-0.0005311462675992331
2010-03-18,-0.0008617484974218819
2010-03-19,-0.011547246511504376
2010-03-22,-0.0009933228067416922
2010-03-23,-5.879491020471285e-05
2010-03-24,-0.0067836882568539265
2010-03-25,0.0007090684259109274
2010-03-26,0.0022635928559570995
2010-03-29,-0.0033557881064491275
2010-03-30,-0.011995499069846104
2010-03-31,0.0026323962912487846
2010-04-01,0.003947490854195162
2010-04-02,0.0008136493058055493
2010-04-05,-0.006105012847726374
2010-04-06,0.003427840195831977
2010-04-07,0.004811062564054098
2010-04-08,0.013585607244623755
2010-04-09,0.00018780432929506444
2010-04-12,-0.000678317477020054
2010-04-13,-0.0023849881495334934
2010-04-14,0.0002207025417723912
2010-04-15,-0.0008732501341063893
2010-04-16,-0.001472760961415132
2010-04-19,-0.017797690995019932
2010-04-20,-0.0085377005375765
2010-04-21,0.0023358165726993425
2010-04-22,0.0017348374457385764
2010-04-23,0.0001343875986700759
2010-04-26,0.007257019021900165
2010-04-27,0.004012281790723447
2010-04-28,-0.0043985804055163185
2010-04-29,-0.004944962908077556
2010-04-30,-0.0072889446169451715
2010-05-03,0.0048124557681695065
2010-05-04,-0.004941065426620348
2010-05-05,0.0017917045783003883
2010-05-06,-0.0022728939670912033
2010-05-07,0.0008986195874321325
2010-05-10,0.010973739291669287
2010-05-11,-0.0008641008321079221
2010-05-12,0.005990346863711057
2010-05-13,0.002795788729650069
2010-05-14,-0.007124157695922945
2010-05-17,0.008749923744583863
2010-05-18,-0.019965053107743165
2010-05-19,0.017378983577702897
2010-05-20,0.007895768567473337
2010-05-21,-0.016347489231915667
2010-05-24,0.0014894322927350768
2010-05-25,0.01457240658213286
2010-05-26,-0.00033337722797669236
2010-05-27,-0.015181220376904645
2010-05-28,-0.009441355101366516
2010-05-31,0.004463219109291634
2010-06-01,-0.007506515146297056
2010-06-02,-0.005719187675253852
2010-06-03,0.0049007020935591256
2010-06-04,0.04312449317171561
2010-06-07,0.018942768417386582
2010-06-08,-0.008684024149258215
2010-06-09,0.013137722797225884
2010-06-10,-0.007467809837736861
2010-06-11,0.012657397243057438
2010-06-14,-0.005647113284075451
2010-06-15,0.014143625688289783
2010-06-16,-0.018397232469291654
2010-06-17,0.006208027626746135
2010-06-18,-0.00937397834326047
2010-06-21,-0.021266227494021458
2010-06-22,0.0007679691452356411
2010-06-23,-0.004729625112915505
2010-06-24,0.013730908964911864
2010-06-25,-0.006025294243702926
2010-06-28,0.0021023689677181134
2010-06-29,0.012994510182353636
2010-06-30,-0.001681435388139918
2010-07-01,0.00529910066137648
2010-07-02,-0.0058381780846512975
2010-07-05,-0.00034483456882501836
2010-07-06,-0.005409957414312585
2010-07-07,-9.636409670877785e-05
2010-07-08,-0.011115499542653381
2010-07-09,-0.007022360769678831
2010-07-12,-0.0010436935525043527
2010-07-13,0.011178567921096748
2010-07-14,-0.0042324410489147065
2010-07-15,-0.0081237130981526
2010-07-16,-0.007078377601605901
2010-07-19,-0.004489309057396004
2010-07-20,-0.006513503074233969
2010-07-21,0.003463497705633579
2010-07-22,-0.006505647801438949
2010-07-23,0.0005216636679181812
2010-07-26,0.0002554016449718423
2010-07-27,-0.00015165133508827043
2010-07-28,-0.004301363966798961
2010-07-29,0.0029381493056267875
2010-07-30,-0.003356158438848481
2010-08-02,-0.0005959066471531337
2010-08-03,0.002417400283145066
2010-08-04,-0.00585807811119419
2010-08-05,0.003237463870030978
2010-08-06,0.006427686195282526
2010-08-09,0.002635255764713634
2010-08-10,0.0004762170097494646
2010-08-11,-0.008152303978002162
2010-08-12,-0.006182430640084079
2010-08-13,-0.0018381429104692632
2010-08-16,0.0038891904481624436
2010-08-17,-0.010861362782507853
2010-08-18,-0.010898508784118941
2010-08-19,-0.0060908781000486535
2010-08-20,-0.0013367948242737346
2010-08-23,-0.006612912864126626
2010-08-24,0.015507941418072982
2010-08-25,0.006697706306190145
2010-08-26,0.005463588318682312
2010-08-27,-0.0007976014102190569
2010-08-30,0.009386437990776177
2010-08-31,-0.0055408114740920136
2010-09-01,-0.026133687990474965
2010-09-02,0.002139304328649636
2010-09-03,-0.0027458564174690906
2010-09-06,0.006005115400761955
2010-09-07,-0.004428248642734016
2010-09-08,-0.0002314168935191722
2010-09-09,0.008486911934552937
2010-09-10,-0.00011934054090291128
2010-09-13,-0.004980535274477433
2010-09-14,0.003519239005406253
2010-09-15,0.005878297890771494
2010-09-16,-0.007157189500862163
2010-09-17,0.0019854745455081656
2010-09-20,0.001285110134739682
2010-09-21,0.003604744204865834
2010-09-22,0.0017233130885885798
2010-09-23,0.011817745053134035
2010-09-24,-0.014968819802856461
2010-09-27,-0.009252358233354564
2010-09-28,0.010430083661944888
2010-09-29,-0.007212316108358818
2010-09-30,-0.004149744229142988
2010-10-01,-0.002770435816009199
2010-10-04,-0.002331237089818851
2010-10-05,0.001397111732670753
2010-10-06,0.000298122258888861
2010-10-07,0.0012677918884959568
2010-10-08,-0.014268382184294725
2010-10-11,8.782982661638948e-05
2010-10-12,0.00609086249245809
2010-10-13,-0.013215564382294957
2010-10-14,0.0032616548767495845
2010-10-15,0.001634835371800869
2010-10-18,-0.009101025845716572
2010-10-19,0.004263713756943708
2010-10-20,-0.004583489986686794
2010-10-21,0.006393214834617149
2010-10-22,0.0030120795793550097
2010-10-25,-0.0004386865795310052
2010-10-26,-0.008348675528235565
2010-10-27,5.52827049996648e-07
2010-10-28,-0.004639575446556344
2010-10-29,0.0018093917892600857
2010-11-01,0.009651011640075374
2010-11-02,0.0002626634406859287
2010-11-03,-0.002337738191214916
2010-11-04,0.002587210680363575
2010-11-05,-0.0044617633055887545
2010-11-08,-0.011178598779958072
2010-11-09,0.0010110473140644803
2010-11-10,0.0063816122191883455
2010-11-11,0.003463853045125471
2010-11-12,-0.0005485524439049483
2010-11-15,-0.015860845148988827
2010-11-16,-0.0002842736510081579
2010-11-17,-0.009304244239639492
2010-11-18,-0.004901376983274178
2010-11-19,0.009334364963033394
2010-11-22,-0.014933341289760144
2010-11-23,-0.004201906238191611
2010-11-24,0.0005504905373704704
2010-11-25,0.00020299683908623083
2010-11-26,0.0030880249009080122
2010-11-29,0.004876863873421364
2010-11-30,0.0033437754300444634
2010-12-01,0.025369695640340403
2010-12-02,-0.001140079264622714
2010-12-03,-0.019939352882433113
2010-12-06,-0.007771642264908926
2010-12-07,0.005037921775697789
2010-12-08,0.0052083386487093075
2010-12-09,-0.002304540884935561
2010-12-10,0.006348311083650829
2010-12-13,-0.004158204948514751
2010-12-14,0.00274862948959083
2010-12-15,-0.012506862241677852
